postcode,state,sa4,individuals,taxable_income,net_tax,avg_taxable_income,avg_net_tax,effective_tax_rate,avg_salary,avg_gross_interest,avg_dividends,avg_capital_gains,avg_gross_rent,avg_net_rent,avg_help_debt,avg_govt_allowances,avg_business_income,pct_private_health
2022,NSW,Sydney - Eastern Suburbs,10059,1198198008,376085184,119117.01,37387.93,31.39,87448.5,2169.06,5010.04,3788.45,7370.31,941.11,3620.07,200.82,5705.1,64.3
2023,NSW,Sydney - Eastern Suburbs,7634,1651713291,609174023,216362.76,79797.49,36.88,94552.62,4606.88,16247.41,21692.42,14580.45,2032.22,4450.17,181.28,13975.71,80.3
2024,NSW,Sydney - Eastern Suburbs,7678,1313498194,462521657,171072.96,60239.86,35.21,108271.42,2307.23,9679.01,9381.64,8704.84,862.92,4912.24,146.82,10533.1,75.4
2025,NSW,Sydney - Eastern Suburbs,5258,1273837897,489939424,242266.62,93179.81,38.46,98872.67,3402.33,27067.4,40772.84,10285.08,797.42,5516.29,162.97,14820.61,81.3
2026,NSW,Sydney - Eastern Suburbs,24600,3457170725,1151803300,140535.4,46821.27,33.32,92214.95,1828.56,4606.38,11285.23,6504.83,531.32,4240.55,181.59,6330.53,64.9
2027,NSW,Sydney - Eastern Suburbs,5841,1633798952,648330999,279712.2,110996.58,39.68,90966.81,6720.59,37712.44,91088.27,15754.46,2394.22,4386.78,159.32,9837.87,81.6
2028,NSW,Sydney - Eastern Suburbs,3487,892325216,348207228,255900.55,99858.68,39.02,89000.22,5914.34,16720.28,84044.55,12382.16,2512.16,5389.64,183.81,7798.27,81.6
2029,NSW,Sydney - Eastern Suburbs,7046,1118799486,387501096,158785.05,54995.9,34.64,81013.64,3796.34,10672.25,21353.69,10562.12,2110.42,4831.68,180.51,8682.25,79.5
2030,NSW,Sydney - Eastern Suburbs,9905,2345009230,893927654,236750.05,90250.14,38.12,86873.08,4905.89,24771.85,30443.27,15467.9,1914.22,4147.85,159.08,13486.14,84.9
2031,NSW,Sydney - Eastern Suburbs,24089,2822914021,870964473,117186.85,36156.11,30.85,86572.3,1637.08,3571.8,3420.23,6212.4,477.75,4933.68,189.05,6594.47,67.9
2032,NSW,Sydney - Eastern Suburbs,9354,720830476,188438764,77061.2,20145.26,26.14,60949.96,1362.78,1934.95,1115.6,6413.96,946.81,4566.26,365.69,4217.01,57.6
2033,NSW,Sydney - Eastern Suburbs,8033,724652984,205597201,90209.51,25594.07,28.37,67107.62,1708.47,2501.88,2661.76,6945.99,829.96,5258.58,364.56,6055.78,60.1
2034,NSW,Sydney - Eastern Suburbs,14720,1829879380,576440857,124312.46,39160.38,31.5,89633.69,1772.14,4922.06,5296.35,8270.35,957.47,4411.05,233.99,6198.94,67.7
2035,NSW,Sydney - Eastern Suburbs,23103,2320541699,681100253,100443.31,29481.03,29.35,72422.42,1623.1,6267.85,2558.3,8417.09,1086.86,3935.16,273.12,5149.38,65.9
2036,NSW,Sydney - Eastern Suburbs,20465,1713791020,452984129,83742.54,22134.58,26.43,68375.94,1143.27,2046.05,1384.02,6294.85,466.22,3868.01,342.6,3856.18,60.8
2037,NSW,Sydney - City and Inner South,10863,1117923737,330375058,102911.14,30412.87,29.55,77873.64,1486.05,3245.21,2958.7,5964.65,338.96,7096.58,519.0,6303.79,61.7
2038,NSW,Sydney - Inner West,6416,773491535,238249193,120556.66,37133.6,30.8,90524.21,1384.9,3434.94,4351.72,6419.32,110.28,6037.11,324.36,7296.56,74.3
2039,NSW,Sydney - Inner West,5953,775027250,244219319,130191.04,41024.58,31.51,101294.71,1457.62,3278.72,4350.85,6892.95,-118.08,4968.2,192.23,5531.31,77.8
2040,NSW,Sydney - Inner West,14629,1654428663,491644321,113092.4,33607.51,29.72,92451.35,1164.27,1968.63,2059.98,5378.65,26.61,5486.64,266.17,5882.65,74.7
2041,NSW,Sydney - Inner West,10634,1686424453,573668609,158587.97,53946.64,34.02,103563.79,2319.56,8005.74,8144.01,8588.16,237.02,4631.29,205.13,7732.21,80.9
2042,NSW,Sydney - City and Inner South,13350,1275205985,352056349,95521.05,26371.26,27.61,80248.23,1004.37,1521.56,1419.22,4458.97,357.65,8938.98,530.22,4265.16,61.3
2043,NSW,Sydney - City and Inner South,7260,795660158,225954977,109595.06,31123.28,28.4,97324.17,1006.2,1274.13,1172.4,4959.63,-156.69,6790.02,277.61,3831.66,72.1
2044,NSW,Sydney - City and Inner South,5737,510957028,133691541,89063.45,23303.39,26.16,80580.84,737.34,854.36,1060.2,4397.77,12.37,6384.06,356.54,3477.67,60.7
